"","HVA_1_miR","HVA_2_miR","HVA_3_miR","HVA_4_miR","HVA_5_miR","HVA_6_miR","HVAK_1_miR","HVAK_2_miR","HVAK_3_miR","HVAK_4_miR","HVAK_5_miR","HVAK_6_miR"
"mmu-miR-425-3p",38.9528640096314,54.4136473757104,57.0619204671543,102.33595781203,133.227251864884,133.862476848066,53.852906949084,39.3564668322669,31.1258386860475,116.834224988819,83.9790730379015,73.5185684898781
"mmu-miR-425-5p",4619.80967154228,5543.97332976523,4515.02445696358,5467.10174618885,4129.28350922932,5267.78312980095,5180.19132588955,4911.2100125841,4265.72208278309,5090.63408879855,4854.41743382649,4730.43718465175
"mmu-miR-429-3p",11388.7044974445,13623.6226272386,12457.3305119856,8836.31635723108,9869.47481815061,9733.23330088361,12812.4086277587,12278.0250314602,15914.1966653377,8581.14727014154,8289.01918366474,8926.93648299823
"mmu-miR-431-5p",3.33881691511126,1.55467563930601,1.18879000973238,3.93599837738578,0.761298582085052,0,2.29161306166315,0,2.96436558914738,1.45135683215925,3.55843529821616,2.22783540878418
"mmu-miR-433-3p",3.33881691511126,3.10935127861202,8.32153006812666,1.57439935095431,9.13558298502062,3.3676094804545,2.29161306166315,2.38524041407678,0,10.8851762411943,5.69349647714586,1.48522360585612
"mmu-miR-434-3p",43.4046198964464,43.5309179005683,58.2507104768866,16.5311931850203,81.4589482831005,26.0989734735224,22.9161306166315,10.7335818633455,34.0902042751949,30.4784934753442,37.7194141610914,21.5357422849138
"mmu-miR-434-5p",1.11293897170375,1.55467563930601,5.9439500486619,2.36159902643147,5.32909007459536,0.841902370113624,1.14580653083157,1.19262020703839,0,1.45135683215925,3.55843529821616,2.97044721171225
"mmu-miR-449a-5p",202.554892850083,223.873292060065,118.879000973238,446.342215995548,136.272446193224,310.661974571927,85.9354898123681,76.3276932504571,48.9120322209318,75.4705552722808,109.599807185058,96.539534380648
"mmu-miR-449c-5p",10.0164507453338,23.3201345895902,19.0206401557181,48.0191802041065,11.4194787312758,40.411313765454,10.3122587774842,10.7335818633455,2.96436558914738,5.80542732863698,11.3869929542917,8.91134163513674
"mmu-miR-450a-5p",5.56469485851877,0,1.18879000973238,3.14879870190863,0,0,1.14580653083157,0,4.44654838372108,0,2.1350611789297,0
"mmu-miR-450b-5p",2.22587794340751,0,0,1.57439935095431,0.761298582085052,0.841902370113624,0,1.19262020703839,0,0.725678416079623,1.42337411928647,0
"mmu-miR-451a",7.79057280192627,4.66402691791803,2.37758001946476,6.29759740381725,9.89688156710567,2.52570711034087,6.87483918498945,1.19262020703839,0,2.90271366431849,3.55843529821616,2.97044721171225
"mmu-miR-452-3p",1.11293897170375,4.66402691791803,1.18879000973238,1.57439935095431,6.85168723876547,3.3676094804545,2.29161306166315,8.34834144926875,1.48218279457369,3.62839208039811,5.69349647714586,2.97044721171225
"mmu-miR-452-5p",0,1.55467563930601,2.37758001946476,3.93599837738578,1.5225971641701,1.68380474022725,0,1.19262020703839,1.48218279457369,3.62839208039811,4.2701223578594,2.97044721171225
"mmu-miR-466c-5p",0,1.55467563930601,0,0.787199675477157,0,1.68380474022725,1.14580653083157,0,0,0.725678416079623,0.711687059643233,0
"mmu-miR-466d-3p",3.33881691511126,4.66402691791803,1.18879000973238,2.36159902643147,1.5225971641701,4.20951185056812,1.14580653083157,1.19262020703839,0,1.45135683215925,1.42337411928647,0.742611802928062
"mmu-miR-466g",1.11293897170375,3.10935127861202,0,1.57439935095431,0.761298582085052,0,0,0,0,0,0.711687059643233,0
"mmu-miR-466h-5p",4.45175588681501,3.10935127861202,1.18879000973238,4.72319805286294,0,2.52570711034087,0,1.19262020703839,0,2.90271366431849,2.1350611789297,0.742611802928062
"mmu-miR-466i-5p",1.11293897170375,3.10935127861202,1.18879000973238,1.57439935095431,5.32909007459536,8.41902370113624,0,0,1.48218279457369,5.80542732863698,0,2.97044721171225
"mmu-miR-466k",1.11293897170375,0,1.18879000973238,2.36159902643147,0.761298582085052,0,0,0,1.48218279457369,0,0.711687059643233,0.742611802928062
