geneSymbol,half_life
2010315B03Rik,3.433
2010315L10Rik,7.727
2010316F05Rik,5.402
2010317E24Rik,4.26
2010321M09Rik,4.06
2200001I15Rik,24
2200001K16Rik,5.536
2200002D01Rik,13.304
2200002J24Rik,7.832
2200002K05Rik,6.032
2210008F06Rik,5.742
2210009G21Rik,2.757
2210009P08Rik,10.089
2210010A19Rik,10.967
2210010B09Rik,2.674
2210010C17Rik,9.013
2210010L05Rik,4.724
2210010N04Rik,10.031
2210011C24Rik,7.849
2210012G02Rik,5.13
2210013K02Rik,9.366
2210013O21Rik,10.148
2210015D19Rik,13.974
2210016F16Rik,16.702
2210016H18Rik,4.42
2210016L21Rik,6.441
2210017I01Rik,24
2210018M11Rik,3.306
2210019G11Rik,7.985
2210020M01Rik,4.593
2210021J22Rik,6.069
2210037E17Rik,2.703
2210039B01Rik,4.53
2210403B10Rik,6.576
2210403K04Rik,2.309
2210404O07Rik,12.333
2210406O10Rik,4.81
2210407C18Rik,7.25
2210408F21Rik,22.504
2210408I21Rik,5.466
2210409E12Rik,16.195
2210411K11Rik,18.784
2210411M09Rik,9.084
2210412D01Rik,4.602
2210412E05Rik,5.929
2210415F13Rik,4.664
2210415I11Rik,3.802
2210416O15Rik,4.387
2210417A02Rik,5.849
2210417D09Rik,0.673
2210417K05Rik,24
2210419D22Rik,2.415
2210419I08Rik,9.192
2210420H20Rik,7.28
2210421G13Rik,8.371
2300002D11Rik,16.082
2300002M23Rik,24
2300006N05Rik,13.202
2300009A05Rik,5.188
2310001A20Rik,22.287
2310001H17Rik,9.241
2310002A05Rik,24
2310002B06Rik,4.324
2310002J15Rik,5.899
2310002J21Rik,12.489
2310002L13Rik,24
2310003C23Rik,5.834
2310003F16Rik,10.813
2310003H01Rik,18.288
2310003L22Rik,7.381
2310004I24Rik,3.722
2310004L02Rik,6.822
2310004N24Rik,10.518
2310005C01Rik,24
2310005E10Rik,8.807
2310005E17Rik,10.864
2310005L22Rik,1.151
2310005N01Rik,6.526
2310005N03Rik,9.392
2310005P05Rik,2.292
2310006M14Rik,9.845
2310007A19Rik,15.267
2310007B03Rik,4.257
2310007D09Rik,4.575
2310007F04Rik,5.97
2310007F21Rik,10.486
2310007H09Rik,11.95
2310007L24Rik,13.177
2310007O11Rik,4.133
2310008H04Rik,8.589
2310008H09Rik,8.202
2310008M10Rik,9.291
2310008N11Rik,7.814
2310009A05Rik,4.867
2310009B15Rik,13.511
2310009E04Rik,13.053
2310010J17Rik,10.534
2310010M24Rik,3.101
2310011J03Rik,7.493
2310012P17Rik,2.491
2310014F06Rik,6.755
2310014G06Rik,13.004
2310014H01Rik,3.992
2310014L17Rik,4.82
2310015A05Rik,24
2310015A10Rik,8.707
2310015B20Rik,4.079
2310016C08Rik,1.882
2310016C16Rik,7.832
2310016D03Rik,14.874
2310016E02Rik,9.735
2310016F22Rik,13.538
2310016M24Rik,7.642
2310020A21Rik,10.881
2310020F24Rik,5.081
2310020H05Rik,5.423
2310021H06Rik,8.411
2310021P13Rik,6.459
2310022A10Rik,3.951
2310022B05Rik,10.967
2310022K01Rik,13.152
2310022M17Rik,6.216
2310026E23Rik,2.257
2310028H24Rik,7.477
2310028N02Rik,5.737
2310028O11Rik,8.875
